district,rainfall_mm_24h,rainfall_mm_7d,slope_deg,elevation_m,soil_moisture,historical_landslide_density,distance_to_road_km,ndvi_vegetation_index,landslide_occurred
Aizawl,14.422869578418057,46.544659179832266,16.37896463670462,696.6785937119542,0.8287444079790004,0.7753284938065125,0.5115472210813524,0.8925211389193045,0
Dima Hasao,45.4425200328129,210.55112215698935,52.09750986619652,50.0,0.2523940264437877,0.03612727880367176,0.1335218689392651,0.5845507158034432,0
Churachandpur,111.18960485653892,208.66479747871668,55.166611849701674,1784.3032766518027,0.48786126334526875,0.9358941913623737,1.225864130193703,0.5998532944366928,1
Upper Subansiri,41.68026422896313,244.62796564546215,24.220608818473053,1577.640306548306,0.717835067978778,0.66985071182463,0.15402149517288416,0.7841338179956377,1
Aizawl,7.724484685348424,198.9180260281738,48.30167117463164,1165.2927672715532,0.7175799856229651,0.933248782884234,10.326393546276263,0.8649302182625305,0
Darjeeling-adjacent-NER,119.27046599464408,177.25109845245686,44.07664531959146,1337.7064700177948,0.8470353270508896,0.5250064868954291,3.8071891768526656,0.7738582622247024,1
Kohima,23.326720706282526,46.6084580585177,43.49460927478893,1109.5814354108195,0.9408112919213931,0.12829900648912912,1.359807250878585,0.619635540843238,0
Aizawl,18.81257743018488,450.81540260657613,26.23906347662083,1789.321753089273,0.8810109068901639,0.048360864169802176,3.9066486139319294,0.6701504201978671,0
Churachandpur,70.28008354068032,201.25804230852077,24.34942015838165,1080.7598942628579,0.8549378452456426,0.05553848816880535,1.3504721729801672,0.22450170013014417,0
Upper Subansiri,36.75413365688692,268.15183879428236,32.33179755335305,1181.0191621567983,0.6480677213522423,0.27638363633872326,2.6037954862843304,0.7368616938854751,0
Dima Hasao,75.85278659601975,134.35038827643484,39.56311858358338,1288.3814163007203,0.32144983080855727,0.1983330396660294,4.308142424419478,0.5389821905549916,0
Churachandpur,80.85405070873135,155.79683587085358,56.500141425747636,969.0560796379984,0.9134623777766591,0.4247780413950353,2.883218939568448,0.8042141702737587,1
Churachandpur,38.39561303523189,179.29436584923224,13.482540445048539,1144.3469398275315,0.4808336769080124,0.2798896166449362,0.2207418958591875,0.8240325329691974,0
Kohima,72.24002684831888,155.2293347067691,42.698393524391335,1121.0197303529617,0.3428794199323474,0.053558868327325704,0.1111485121085054,0.9271252063104515,0
West Kameng,33.504474191584315,163.2025289588064,11.56229266683176,788.8834676358017,0.08593557535669133,0.0008992145239326139,2.109372512590029,0.8611646623181414,0
Upper Subansiri,46.890389520443186,75.0171862617376,38.942800416567756,628.2724861242737,0.9054435668269779,0.054930012808810935,0.5467230048492038,0.12765620082110837,0
West Garo Hills,64.86478591597496,186.40053925439344,36.541193185916676,1081.42838306207,0.3483440332004279,0.06347589326373568,10.352494784162891,0.6121775879572974,0
Churachandpur,25.95813129220388,71.66297081829092,49.864649706229166,1018.3108672860274,0.6030323161548597,0.5090698939811648,0.04107101405863406,0.3598761676770055,0
West Kameng,10.714248226765031,71.90394056241024,36.828287781282846,1835.0931794942098,0.5571513919365763,0.13434635142865944,3.4510394404060376,0.5574438044138402,0
West Garo Hills,21.210801737132854,22.21443476500494,45.21153342519844,622.6900304172749,0.2781712906496398,0.03932612907455882,0.1084260791272839,0.1930616294982977,0
Upper Subansiri,28.146959378354282,339.67336169650923,6.911217163108569,865.2281614014378,0.6414051855234567,0.5632180810606497,2.359620666090506,0.6289559128890349,1
East Khasi Hills,84.6957371701218,193.89870967369995,6.251127869677935,1310.714334811752,0.6306512931011019,1.1286175469083966,1.3620061769941834,0.6603843191320777,1
Darjeeling-adjacent-NER,32.05362177213134,183.1448330193555,40.52899656474104,1438.9182296198542,0.2870481975965621,0.04235861167580374,2.50477956053728,0.6631450310630546,0
West Kameng,73.32457458839916,123.38447332379371,14.459626477723024,1116.5488587960779,0.19006125011161132,1.3193740892577832,3.588274481497715,0.5460265691675106,0
Gangtok,2.677834351882499,309.8469775072627,23.021871410528078,1691.0926770234346,0.5308372902366378,1.2004165952387231,0.08441015154953369,0.6511932488446844,1
East Khasi Hills,15.867581905677639,228.1936881949521,35.73018338349844,1137.3235923955644,0.41499193409809726,0.29619416977041657,1.8414970452535941,0.38725311745000063,0
Darjeeling-adjacent-NER,29.612761287787897,61.99733530926374,36.937737724109255,679.0030904154341,0.34424941696978417,0.14025753838043517,7.1329692243883,0.027745883753704362,0
Kohima,108.88978005266563,71.18982720905741,53.836863086272,1176.4665198008781,0.34397636157495554,0.05944277779453697,0.6140584865903662,0.8021163296627398,0
Aizawl,47.08372330608201,106.34801914004633,18.68404440038654,1647.1114454185554,0.5157401100455228,0.6945757768084987,0.2015839723622924,0.7707719014384069,0
Dima Hasao,17.217114863812366,107.95208881315634,48.087652531302716,1783.4373273617714,0.3553244184365703,0.3712845358483543,3.684701213660082,0.8698318300585065,0
Gangtok,6.550348317817796,25.675519014100754,5.501507544112472,1766.701205779465,0.6417655238079862,0.42141574416444477,3.3815860722311357,0.35509486625406445,0
Kohima,52.6273848053994,285.02046482633693,37.457144109411985,1316.2102992260584,0.10080499343958922,0.7889582342778435,1.236374095826424,0.8213523489869622,0
Upper Subansiri,19.20173860318716,343.0725702122328,26.50949399731906,1357.5586867528896,0.18044796524338239,0.23475464921499622,4.433530152780491,0.7709948609657498,0
Kohima,23.581184918183276,139.7161029047521,22.833079008481995,1553.8797779387642,0.20583155091188743,0.18361497280071024,1.9626139657280648,0.7567719344219955,0
Aizawl,16.64810523471817,157.16454628884003,33.1370814243802,222.98146091059766,0.5201653148264538,0.5747062658684231,1.6126088350087775,0.8684312847432865,0
Upper Subansiri,19.486401466245372,129.4242056310435,9.53875753308785,769.3647668658484,0.1139939916246061,0.14108466304688136,4.312897335943257,0.5636269574413643,0
Gangtok,13.305150007800743,315.06085953977947,28.616413674019363,1379.2089185830762,0.3115597452911215,0.1589546344545226,0.2582397418632286,0.7790400573283242,0
Aizawl,40.42044667684356,162.43897299326815,51.81077496228548,608.4701784221764,0.38990466969509535,0.19191896384120358,0.6336843030823353,0.37752138148055564,0
West Garo Hills,49.26589870099795,428.87966504316427,47.819871619378524,1890.8853199736404,0.07621336603445225,0.7761724843310117,1.4680774042133768,0.801867447354113,1
Dima Hasao,19.87417996255699,175.66520693457508,34.26365405713786,1840.4968415525882,0.33287764948688214,0.6040460153797927,0.22326158217589986,0.6506616087547835,0
Gangtok,125.471942801563,137.40102896414916,33.96313791964497,874.8327679208953,0.47240829529018935,0.137795726604162,13.724658958210282,0.5726330392889455,0
West Garo Hills,61.227934151852146,214.50161162855085,48.7159459432724,656.1636515966194,0.4550570513497958,0.06201286262289814,0.9404855313109911,0.5782224317989276,0
Darjeeling-adjacent-NER,5.033225990748094,412.41372967955425,35.75326231993011,1458.0127865209477,0.5404562066125176,0.19955432905202541,7.3790278371942195,0.10551628898703325,0
Gangtok,46.1135403636798,169.84330835332992,5.8303930838739655,433.7416681014628,0.5918979431074148,0.39185384925473404,1.6082825205540088,0.8260736924552313,0
Darjeeling-adjacent-NER,52.17173266942709,313.98226715944924,17.23762627421155,1283.879213348707,0.6444419491787584,0.4511097125189906,6.45967115112609,0.9174371815001915,0
Upper Subansiri,54.19183027739363,280.3505537413284,32.87869595117024,2898.157491936484,0.7214740330535647,0.08947253788042218,1.449478951609957,0.8689024231956364,0
West Garo Hills,40.23253941580001,46.903588628535296,30.21186022394733,594.9463101893,0.7212065832106811,0.1147539705582634,4.214780005185462,0.8622492011681248,0
Dima Hasao,70.82104397844185,140.33783280935435,56.26094138317313,730.7164660228027,0.05774484998855874,1.0642828280685148,3.476746177273071,0.5139354310174181,0
Aizawl,88.67543770568052,57.77754058160816,34.94351037242723,829.5231509549981,0.22095311250101965,0.1944921103631443,7.338723769610373,0.81614120327518,0
Churachandpur,61.525616243483285,95.54182183807347,53.40696179601003,661.2020008900892,0.036532673168696635,0.1508342384602733,2.5364928310010884,0.6375005301516914,0
Kohima,101.27402965361473,255.75394381119565,50.1233203310849,691.6149941200354,0.6281863694218677,0.4759099517508748,0.6439656183416133,0.5883135916180925,1
East Khasi Hills,79.83411850822326,189.35499009624766,42.13737491782474,2231.394250323323,0.034056440264631935,0.2523523120353124,1.9516783013730465,0.790974729467415,0
Dima Hasao,34.865779941061064,132.4491719670386,41.2442542688662,1237.6367637066178,0.2969086877436771,0.11337082516088409,0.39419349292890726,0.7922886140771966,0
West Garo Hills,54.00725176792537,216.6753065181779,25.73477303480493,1745.6104833032714,0.6434261724138417,0.2105768753624723,1.0194321832563407,0.732804980842367,0
Churachandpur,63.20254816902817,98.17528446459298,45.05107604673994,1919.660255601037,0.6179514915003378,0.062285222281057,3.891970603099132,0.7842270119531166,0
Dima Hasao,86.31116713068518,71.70578658372087,38.53679225748499,117.51338272848375,0.3384468926938575,0.13115931161665859,0.03516598820781032,0.6852880576611833,0
West Garo Hills,38.54078008571531,33.15657151714555,17.876842763265632,738.4131601528227,0.15322281118835812,0.21683196162672513,2.4246518247665323,0.6525631118012973,0
West Kameng,50.86537107968575,332.710138959185,36.02539805489939,655.8791042741234,0.23600336382443543,0.29191938846693866,2.952157585691782,0.4281050501506754,0
West Kameng,6.308558312998411,305.8915923573587,16.227341405937693,50.0,0.6249927404439511,0.5413873964306999,5.751239624784525,0.6261078768019014,0
Darjeeling-adjacent-NER,29.656504810437408,172.59960752860107,37.63062804302761,1455.5715320682193,0.28541987819449455,0.19441651769366744,3.5312469121072803,0.5757167554817143,0
Dima Hasao,1.7383572691318572,293.21494020062795,16.503500383946484,1382.213387569496,0.646963131263726,0.31560310286692267,1.2888522700984617,0.7871196220694442,0
West Kameng,18.902664747078425,365.6109149044038,18.870473803016793,1993.4069881063065,0.5669841547920217,1.2064254147666063,3.626580971647579,0.4802942573224856,0
West Garo Hills,23.50043767794657,328.17801836667314,10.75177299915932,1484.4723969451716,0.33755725877624343,0.682195188213849,2.455266833004816,0.7545846730173958,0
Darjeeling-adjacent-NER,62.983464108610654,125.93109695495767,43.92223928154559,50.0,0.29072096104873635,0.10820352560981324,2.2092614550374687,0.8124864591617298,0
